customer_id,signup_date,age,gender,region,state,income_band,churn_label,last_purchase,frequency,monetary,avg_basket,recency_days,days_since_signup,rfm_segment,churn_probability,revenue_at_risk,priority_score,recommended_action
10001,2021-04-08,59,Female,West,Gujarat,3L-6L,0,2025-07-21,22,466935.52,21224.34181818182,11,1576,Champion,1.1852851865431727e-19,5.5345175492683334e-14,1.2729390363317167e-12,Cross-sell
10002,2023-04-28,40,Female,East,Bihar,<3L,0,2025-07-01,20,404316.9,20215.845,31,826,Loyal,5.0441410712395014e-17,2.0394314810862345e-11,4.282806110281092e-10,Cross-sell
10003,2022-12-18,64,Female,South,Kerala,6L-10L,0,2025-06-12,19,290261.83,15276.938421052631,50,957,Loyal,1.8423781244678815e-15,5.347720459600151e-10,1.0695440919200302e-08,Cross-sell
10004,2022-04-26,53,Female,West,Gujarat,3L-6L,0,2025-02-03,21,488734.57,23273.07476190476,179,1193,At Risk,0.2667814250360828,130385.30504899718,2868476.711077938,Cross-sell
10005,2022-04-20,48,Male,West,Gujarat,15L+,0,2025-06-20,29,775942.16,26756.62620689655,42,1199,Loyal,1.3532997487645474e-16,1.0500823301838204e-10,3.150246990551461e-09,Cross-sell
10006,2023-07-30,60,Male,West,Maharashtra,<3L,0,2025-07-14,18,430070.59,23892.81055555556,18,733,Champion,1.1257312304814083e-19,4.841438944745653e-14,9.198733995016741e-13,Cross-sell
10007,2021-04-05,42,Female,East,West Bengal,<3L,0,2025-06-21,24,628813.61,26200.56708333333,41,1579,Loyal,5.192666744473043e-15,3.2652195211190417e-09,8.163048802797605e-08,Cross-sell
10008,2023-02-03,51,Female,Central,Chhattisgarh,3L-6L,0,2025-07-15,20,459946.88,22997.344,17,910,Champion,7.145640083444168e-19,3.2866148619830846e-13,6.9018912101644774e-12,Cross-sell
10009,2021-08-09,31,Male,South,Tamil Nadu,3L-6L,0,2025-07-06,15,385060.52,25670.70133333333,26,1453,Champion,1.015053196827631e-15,3.9085691179810993e-10,6.253710588769759e-09,Cross-sell
10010,2021-04-14,63,Male,Central,Madhya Pradesh,3L-6L,0,2025-04-29,14,448434.06,32031.004285714287,94,1570,Promising,4.864704620877663e-11,2.181499243840931e-05,0.00032722488657613963,Cross-sell
10011,2022-07-31,47,Female,South,Karnataka,6L-10L,0,2025-07-08,23,577636.43,25114.62739130435,24,1097,Champion,3.700301155098132e-18,2.1374287491557614e-12,5.129828997973828e-11,Cross-sell
10012,2023-12-05,54,Female,South,Telangana,3L-6L,0,2025-06-16,19,537178.19,28272.53631578947,46,605,Loyal,1.1037529441416705e-15,5.929120087411936e-10,1.1858240174823871e-08,Cross-sell
10013,2023-03-17,39,Female,East,Odisha,6L-10L,0,2025-06-23,25,558762.56,22350.5024,39,868,Loyal,2.131579646587905e-17,1.191046900171353e-11,3.096721940445518e-10,Cross-sell
10014,2023-04-14,58,Male,East,Odisha,10L-15L,0,2025-06-04,25,563251.65,22530.066000000003,58,840,Loyal,4.621898588366829e-16,2.6032920060302875e-10,6.768559215678748e-09,Cross-sell
10015,2023-02-25,21,Male,West,Gujarat,6L-10L,0,2025-06-13,20,445236.28,22261.814,49,888,Loyal,4.271798217193891e-15,1.9019595471340402e-09,3.994115048981484e-08,Cross-sell
10016,2023-05-11,23,Female,South,Tamil Nadu,6L-10L,0,2025-05-18,18,389850.37,21658.353888888887,75,813,Loyal,3.7254475150734944e-11,1.4523670921669824e-05,0.00027594974751172667,Cross-sell
10017,2022-07-16,41,Male,Central,Madhya Pradesh,3L-6L,0,2025-06-01,24,434564.09,18106.83708333333,61,1112,Loyal,5.182630734842519e-15,2.252185209092871e-09,5.6304630227321774e-08,Cross-sell
10018,2021-05-21,52,Female,South,Tamil Nadu,3L-6L,0,2025-06-14,24,506247.97,21093.665416666667,48,1533,Loyal,2.8358446677643795e-15,1.4356406062910415e-09,3.589101515727604e-08,Cross-sell
10019,2023-07-09,56,Female,East,Bihar,3L-6L,0,2025-07-27,20,461296.39,23064.8195,5,754,Champion,1.8249088654949228e-20,8.418238717318034e-15,1.767830130636787e-13,Cross-sell
10020,2022-05-09,38,Male,Central,Chhattisgarh,15L+,0,2025-07-19,19,402958.23,21208.32789473684,13,1180,Champion,1.0408020852919824e-18,4.1939976606956624e-13,8.387995321391324e-12,Cross-sell
10021,2022-07-02,48,Male,East,West Bengal,6L-10L,0,2025-07-09,16,396919.45,24807.465625,23,1126,Champion,7.330771059923039e-18,2.90972561718057e-12,4.946533549206969e-11,Cross-sell
10022,2022-02-11,43,Male,West,Maharashtra,3L-6L,0,2025-07-15,19,458315.53,24121.870000000003,17,1267,Champion,2.099298128896453e-18,9.621409345731861e-13,1.924281869146372e-11,Cross-sell
10023,2021-07-19,63,Female,Central,Madhya Pradesh,6L-10L,0,2025-07-26,16,335039.27,20939.954375,6,1474,Champion,1.7733638850804745e-19,5.941465415017261e-14,1.0100491205529345e-12,Cross-sell
10024,2023-10-12,48,Female,Central,Chhattisgarh,10L-15L,1,2025-01-27,16,292136.53,18258.533125,186,659,Churned,0.9372111914161396,273793.62533747684,4654491.630737106,Discount Campaign
10025,2023-05-06,37,Male,East,Odisha,6L-10L,0,2025-04-08,15,315476.69,21031.77933333333,115,818,Promising,3.426218432803443e-07,0.10808920503978175,1.729427280636508,Cross-sell
10026,2022-12-07,63,Female,East,Bihar,6L-10L,0,2025-06-03,21,481559.59,22931.40904761905,59,968,Loyal,2.2196610958486215e-15,1.068899087255813e-09,2.3515779919627885e-08,Cross-sell
10027,2022-03-17,23,Male,North,Punjab,10L-15L,0,2025-07-13,21,363751.54,17321.501904761903,19,1233,Champion,5.937075781080593e-18,2.1596204584647685e-12,4.751165008622491e-11,Cross-sell
10028,2023-06-20,64,Male,East,Bihar,6L-10L,0,2025-04-29,27,507058.45,18779.942592592597,94,773,Promising,3.194963324217738e-14,1.6200331509846938e-08,4.5360928227571424e-07,Cross-sell
10029,2022-08-21,25,Female,Central,Chhattisgarh,6L-10L,0,2025-04-27,20,459537.59,22976.8795,96,1076,Promising,1.6447183181055612e-09,0.0007558098921310831,0.015872007734752745,Cross-sell
10030,2022-05-01,31,Male,East,West Bengal,3L-6L,0,2025-05-29,21,467503.31,22262.062380952382,64,1188,Loyal,1.1962078741768052e-12,5.592311406257199e-07,1.2303085093765839e-05,Cross-sell
10031,2022-05-09,56,Male,South,Telangana,<3L,0,2025-02-17,24,519836.59,21659.857916666668,165,1180,At Risk,0.0019283524729746086,1002.4281738691877,25060.704346729693,Cross-sell
10032,2021-09-06,52,Female,North,Haryana,15L+,0,2025-04-29,15,321530.44,21435.362666666668,94,1425,Promising,5.139959680195042e-09,0.001652653497555371,0.026442455960885937,Cross-sell
10033,2021-04-11,63,Male,South,Telangana,6L-10L,0,2025-07-11,23,414949.85,18041.29782608696,21,1573,Champion,1.132703033249775e-19,4.7001495374153917e-14,1.128035888979694e-12,Cross-sell
10034,2022-08-31,53,Female,South,Telangana,3L-6L,0,2025-06-08,21,437573.74,20836.84476190476,54,1066,Loyal,1.489045153001383e-14,6.515670566276873e-09,1.433447524580912e-07,Cross-sell
10035,2023-08-31,47,Male,Central,Madhya Pradesh,6L-10L,0,2025-06-13,14,311068.2,22219.157142857144,49,701,Loyal,4.5439525020369875e-15,1.4134791256941421e-09,2.1202186885412132e-08,Cross-sell
10036,2021-03-11,34,Male,East,West Bengal,<3L,0,2025-06-09,20,515448.28,25772.414,53,1604,Loyal,2.348657511882588e-13,1.2106114748089595e-07,2.542284097098815e-06,Cross-sell
10037,2023-07-29,18,Male,North,Punjab,10L-15L,0,2025-07-20,18,499983.79,27776.87722222222,12,734,Champion,1.439830530596528e-18,7.198919256453629e-13,1.3677946587261896e-11,Cross-sell
10038,2023-06-26,23,Male,North,Delhi,3L-6L,0,2025-07-24,19,573148.39,30165.704736842104,8,767,Champion,4.714834315042335e-19,2.702299696783267e-13,5.404599393566534e-12,Cross-sell
10039,2021-10-31,31,Male,Central,Madhya Pradesh,10L-15L,0,2025-04-29,15,304053.98,20270.265333333333,94,1370,Promising,3.565979453376382e-08,0.010842502453973132,0.1734800392635701,Cross-sell
10040,2022-11-23,19,Male,Central,Madhya Pradesh,6L-10L,1,2025-01-27,16,361632.41,22602.025625,186,982,Churned,0.9821991887019067,355195.05971031525,6038316.0150753595,Discount Campaign
10041,2021-06-30,41,Female,West,Gujarat,3L-6L,0,2025-07-28,22,440048.73,20002.215,4,1493,Champion,7.635756141471551e-20,3.360104792644256e-14,7.728241023081789e-13,Cross-sell
10042,2023-04-11,54,Male,North,Punjab,<3L,0,2025-05-15,24,619515.43,25813.142916666668,78,843,Loyal,4.997806875591064e-13,3.096218475588755e-07,7.740546188971887e-06,Cross-sell
10043,2023-02-07,63,Male,North,Punjab,10L-15L,0,2025-07-09,30,662199.78,22073.326,23,906,Champion,3.0060776593111823e-21,1.99062396465878e-15,6.170934290442218e-14,Cross-sell
10044,2022-01-24,41,Male,North,Haryana,3L-6L,0,2025-07-23,23,505460.34,21976.53652173913,9,1285,Champion,8.354513418416243e-20,4.222875193007237e-14,1.0134900463217368e-12,Cross-sell
10045,2021-03-16,59,Male,West,Gujarat,<3L,0,2025-07-25,21,300552.92,14312.04380952381,7,1599,Champion,1.3823276856340055e-20,4.154626223141424e-15,9.140177690911133e-14,Cross-sell
10046,2023-11-29,64,Male,West,Gujarat,10L-15L,0,2025-07-25,24,478467.41,19936.14208333333,7,611,Champion,1.1393651979358598e-22,5.451491153005082e-17,1.3628727882512704e-15,Cross-sell
10047,2022-05-04,58,Female,Central,Madhya Pradesh,3L-6L,0,2025-05-07,25,506613.75,20264.55,86,1185,Loyal,1.3874192453618892e-12,7.028856667149568e-07,1.8275027334588874e-05,Cross-sell
10048,2023-09-05,39,Male,North,Punjab,3L-6L,0,2025-06-09,13,350286.4,26945.10769230769,53,696,Loyal,1.4360736918339837e-14,5.030370836472356e-09,7.042519171061299e-08,Cross-sell
10049,2023-01-13,33,Female,North,Delhi,3L-6L,0,2025-07-15,22,539303.36,24513.78909090909,17,931,Champion,2.809550282014756e-18,1.5151999071795054e-12,3.484959786512862e-11,Cross-sell
10050,2023-05-03,63,Female,Central,Madhya Pradesh,10L-15L,0,2025-04-06,12,303414.41000000003,25284.534166666668,117,821,Promising,6.177615220282914e-08,0.018743774772691606,0.2436690720449909,Cross-sell
10051,2023-04-13,29,Male,Central,Madhya Pradesh,3L-6L,0,2025-06-17,17,513235.97,30190.351176470587,45,841,Loyal,2.9990918528444873e-15,1.5392418162137377e-09,2.770635269184728e-08,Cross-sell
10052,2021-08-02,37,Male,West,Maharashtra,3L-6L,0,2025-07-12,25,473191.89,18927.6756,20,1460,Champion,2.3620860685416407e-19,1.1177199711158886e-13,2.90607192490131e-12,Cross-sell
10053,2022-02-03,21,Male,North,Punjab,3L-6L,0,2025-07-09,26,741148.87,28505.72576923077,23,1275,Champion,1.6644235462451463e-16,1.233585630500983e-10,3.330681202352654e-09,Cross-sell
10054,2022-05-27,55,Female,North,Delhi,3L-6L,0,2025-07-22,22,324026.04,14728.456363636362,10,1162,Champion,1.5713233500989742e-20,5.091496826921042e-15,1.1710442701918395e-13,Cross-sell
10055,2022-06-30,48,Male,North,Haryana,3L-6L,0,2025-04-21,26,566235.02,21778.27,102,1128,Promising,8.423529632663288e-11,4.769697470021689e-05,0.0012878183169058562,Cross-sell
