customer_id,signup_date,age,gender,region,state,income_band,churn_label,last_purchase,frequency,monetary,avg_basket,recency_days,days_since_signup,rfm_segment
10001,2021-04-08,59,Female,West,Gujarat,3L-6L,0,2025-07-21,22,466935.52,21224.34181818182,11,1576,Champion
10002,2023-04-28,40,Female,East,Bihar,<3L,0,2025-07-01,20,404316.9,20215.845,31,826,Loyal
10003,2022-12-18,64,Female,South,Kerala,6L-10L,0,2025-06-12,19,290261.83,15276.938421052633,50,957,Loyal
10004,2022-04-26,53,Female,West,Gujarat,3L-6L,0,2025-02-03,21,488734.57,23273.07476190476,179,1193,At Risk
10005,2022-04-20,48,Male,West,Gujarat,15L+,0,2025-06-20,29,775942.16,26756.62620689655,42,1199,Loyal
10006,2023-07-30,60,Male,West,Maharashtra,<3L,0,2025-07-14,18,430070.59,23892.810555555556,18,733,Champion
10007,2021-04-05,42,Female,East,West Bengal,<3L,0,2025-06-21,24,628813.61,26200.56708333333,41,1579,Loyal
10008,2023-02-03,51,Female,Central,Chhattisgarh,3L-6L,0,2025-07-15,20,459946.88,22997.344,17,910,Champion
10009,2021-08-09,31,Male,South,Tamil Nadu,3L-6L,0,2025-07-06,15,385060.52,25670.701333333334,26,1453,Champion
10010,2021-04-14,63,Male,Central,Madhya Pradesh,3L-6L,0,2025-04-29,14,448434.06,32031.004285714287,94,1570,Promising
10011,2022-07-31,47,Female,South,Karnataka,6L-10L,0,2025-07-08,23,577636.43,25114.62739130435,24,1097,Champion
10012,2023-12-05,54,Female,South,Telangana,3L-6L,0,2025-06-16,19,537178.19,28272.53631578947,46,605,Loyal
10013,2023-03-17,39,Female,East,Odisha,6L-10L,0,2025-06-23,25,558762.56,22350.5024,39,868,Loyal
10014,2023-04-14,58,Male,East,Odisha,10L-15L,0,2025-06-04,25,563251.65,22530.066000000003,58,840,Loyal
10015,2023-02-25,21,Male,West,Gujarat,6L-10L,0,2025-06-13,20,445236.28,22261.814000000002,49,888,Loyal
10016,2023-05-11,23,Female,South,Tamil Nadu,6L-10L,0,2025-05-18,18,389850.37,21658.353888888887,75,813,Loyal
10017,2022-07-16,41,Male,Central,Madhya Pradesh,3L-6L,0,2025-06-01,24,434564.08999999997,18106.837083333332,61,1112,Loyal
10018,2021-05-21,52,Female,South,Tamil Nadu,3L-6L,0,2025-06-14,24,506247.97,21093.665416666667,48,1533,Loyal
10019,2023-07-09,56,Female,East,Bihar,3L-6L,0,2025-07-27,20,461296.39,23064.8195,5,754,Champion
10020,2022-05-09,38,Male,Central,Chhattisgarh,15L+,0,2025-07-19,19,402958.23,21208.32789473684,13,1180,Champion
10021,2022-07-02,48,Male,East,West Bengal,6L-10L,0,2025-07-09,16,396919.45,24807.465625,23,1126,Champion
10022,2022-02-11,43,Male,West,Maharashtra,3L-6L,0,2025-07-15,19,458315.53,24121.870000000003,17,1267,Champion
10023,2021-07-19,63,Female,Central,Madhya Pradesh,6L-10L,0,2025-07-26,16,335039.27,20939.954375,6,1474,Champion
10024,2023-10-12,48,Female,Central,Chhattisgarh,10L-15L,1,2025-01-27,16,292136.52999999997,18258.533124999998,186,659,Churned
10025,2023-05-06,37,Male,East,Odisha,6L-10L,0,2025-04-08,15,315476.69,21031.779333333332,115,818,Promising
10026,2022-12-07,63,Female,East,Bihar,6L-10L,0,2025-06-03,21,481559.59,22931.40904761905,59,968,Loyal
10027,2022-03-17,23,Male,North,Punjab,10L-15L,0,2025-07-13,21,363751.54,17321.501904761903,19,1233,Champion
10028,2023-06-20,64,Male,East,Bihar,6L-10L,0,2025-04-29,27,507058.45,18779.942592592593,94,773,Promising
10029,2022-08-21,25,Female,Central,Chhattisgarh,6L-10L,0,2025-04-27,20,459537.58999999997,22976.8795,96,1076,Promising
10030,2022-05-01,31,Male,East,West Bengal,3L-6L,0,2025-05-29,21,467503.31,22262.062380952382,64,1188,Loyal
10031,2022-05-09,56,Male,South,Telangana,<3L,0,2025-02-17,24,519836.59,21659.857916666668,165,1180,At Risk
10032,2021-09-06,52,Female,North,Haryana,15L+,0,2025-04-29,15,321530.44,21435.362666666668,94,1425,Promising
10033,2021-04-11,63,Male,South,Telangana,6L-10L,0,2025-07-11,23,414949.85,18041.297826086957,21,1573,Champion
10034,2022-08-31,53,Female,South,Telangana,3L-6L,0,2025-06-08,21,437573.74,20836.844761904762,54,1066,Loyal
10035,2023-08-31,47,Male,Central,Madhya Pradesh,6L-10L,0,2025-06-13,14,311068.2,22219.157142857144,49,701,Loyal
10036,2021-03-11,34,Male,East,West Bengal,<3L,0,2025-06-09,20,515448.28,25772.414,53,1604,Loyal
10037,2023-07-29,18,Male,North,Punjab,10L-15L,0,2025-07-20,18,499983.79,27776.87722222222,12,734,Champion
10038,2023-06-26,23,Male,North,Delhi,3L-6L,0,2025-07-24,19,573148.39,30165.704736842104,8,767,Champion
10039,2021-10-31,31,Male,Central,Madhya Pradesh,10L-15L,0,2025-04-29,15,304053.98,20270.265333333333,94,1370,Promising
10040,2022-11-23,19,Male,Central,Madhya Pradesh,6L-10L,1,2025-01-27,16,361632.41000000003,22602.025625000002,186,982,Churned
10041,2021-06-30,41,Female,West,Gujarat,3L-6L,0,2025-07-28,22,440048.73,20002.215,4,1493,Champion
10042,2023-04-11,54,Male,North,Punjab,<3L,0,2025-05-15,24,619515.43,25813.142916666668,78,843,Loyal
10043,2023-02-07,63,Male,North,Punjab,10L-15L,0,2025-07-09,30,662199.78,22073.326,23,906,Champion
10044,2022-01-24,41,Male,North,Haryana,3L-6L,0,2025-07-23,23,505460.34,21976.53652173913,9,1285,Champion
10045,2021-03-16,59,Male,West,Gujarat,<3L,0,2025-07-25,21,300552.92,14312.04380952381,7,1599,Champion
10046,2023-11-29,64,Male,West,Gujarat,10L-15L,0,2025-07-25,24,478467.41,19936.142083333332,7,611,Champion
10047,2022-05-04,58,Female,Central,Madhya Pradesh,3L-6L,0,2025-05-07,25,506613.75,20264.55,86,1185,Loyal
10048,2023-09-05,39,Male,North,Punjab,3L-6L,0,2025-06-09,13,350286.4,26945.107692307694,53,696,Loyal
10049,2023-01-13,33,Female,North,Delhi,3L-6L,0,2025-07-15,22,539303.36,24513.78909090909,17,931,Champion
10050,2023-05-03,63,Female,Central,Madhya Pradesh,10L-15L,0,2025-04-06,12,303414.41000000003,25284.534166666668,117,821,Promising
10051,2023-04-13,29,Male,Central,Madhya Pradesh,3L-6L,0,2025-06-17,17,513235.97,30190.351176470587,45,841,Loyal
10052,2021-08-02,37,Male,West,Maharashtra,3L-6L,0,2025-07-12,25,473191.89,18927.675600000002,20,1460,Champion
10053,2022-02-03,21,Male,North,Punjab,3L-6L,0,2025-07-09,26,741148.87,28505.72576923077,23,1275,Champion
10054,2022-05-27,55,Female,North,Delhi,3L-6L,0,2025-07-22,22,324026.04,14728.456363636362,10,1162,Champion
10055,2022-06-30,48,Male,North,Haryana,3L-6L,0,2025-04-21,26,566235.02,21778.27,102,1128,Promising
10056,2021-02-17,21,Female,West,Rajasthan,<3L,0,2025-07-28,23,537309.76,23361.29391304348,4,1626,Champion
10057,2022-08-22,28,Female,Central,Madhya Pradesh,3L-6L,0,2025-04-18,21,467792.37,22275.827142857142,105,1075,Promising
10058,2021-06-18,44,Female,West,Gujarat,3L-6L,0,2025-06-23,15,469300.03,31286.66866666667,39,1505,Loyal
10059,2023-03-25,43,Female,South,Kerala,10L-15L,0,2025-05-26,22,435629.08,19801.32181818182,67,860,Loyal
10060,2023-01-18,55,Other,West,Gujarat,<3L,0,2025-07-26,20,639985.85,31999.2925,6,926,Champion
10061,2023-10-08,30,Male,North,Punjab,3L-6L,0,2025-05-08,19,351650.63,18507.927894736844,85,663,Loyal
10062,2023-03-27,61,Male,Central,Chhattisgarh,10L-15L,0,2025-07-24,18,435046.53,24169.251666666667,8,858,Champion
10063,2022-02-06,38,Male,Central,Madhya Pradesh,10L-15L,0,2025-07-25,28,687061.59,24537.913928571426,7,1272,Champion
10064,2023-11-26,56,Female,West,Maharashtra,6L-10L,0,2025-07-06,17,360327.49,21195.73470588235,26,614,Champion
10065,2022-03-26,29,Female,Central,Madhya Pradesh,3L-6L,0,2025-02-27,17,439666.92000000004,25862.760000000002,155,1224,At Risk
